"","Latitude","Longitude","tLU_INDEX","cLU_INDEX","CTRL_Mean_GPP_g_m2_hr","t00X_Mean_GPP_g_m2_hr","delta_GPP_t00X","Mean_CTRL_VPD","Mean_t00X_VPD","delta_VPD_t00X","Mean_CTRL_S","Mean_t00X_S","delta_S_t00X","Mean_CTRL_SWDOWN","Mean_t00X_SWDOWN","delta_SWDOWN_t00X","Mean_CTRL_SMOIS","Mean_t00X_SMOIS","delta_SMOIS_t00X","Mean_CTRL_RAINNC","Mean_t00X_RAINNC","delta_RAINNC_t00X","Mean_CTRL_U","Mean_t00X_U","delta_U_t00X","Mean_CTRL_V","Mean_t00X_V","delta_V_t00X","Mean_CTRL_W","Mean_t00X_W","delta_W_t00X","Mean_CTRL_RH","Mean_t00X_RH","delta_RH_t00X","Mean_CTRL_VT","Mean_t00X_VT","delta_VT_t00X"
"1",36.7976913452148,-82.00927734375,16,4,0.294882184849434,0,-0.294882184849434,820.14114484825,874.578830325625,54.4376854773752,-1.31571937632526,-1.25607827512505,0.0596411012002107,262.966172525053,263.984699987179,1.01852746212614,0.316721103821485,0.293775176697404,-0.0229459271240812,3.45972747476692,3.55149109343178,0.091763618664864,0.813945343464615,0.862971177728293,0.0490258342636779,0.17728721728461,0.0406874581532762,-0.136599759131334,-0.0109715912538773,-0.0106871254496631,0.000284465804214174,71.7602782645727,69.8795425152247,-1.88073574934808,292.444560997168,282.839416503906,-9.60514449326195
"2",36.7999649047852,-82.0765380859375,16,4,0.309096199895315,0,-0.309096199895315,738.935090336242,794.180448502267,55.2453581660255,-1.31995096498924,-1.21833055462064,0.101620410368598,261.55298692054,264.82014270178,3.26715578123969,0.264622954368188,0.239708257157628,-0.0249146972105599,3.80151220468374,3.42432243803627,-0.377189766647469,0.290465673919996,0.311481187293739,0.0210155133737434,-0.577922111993891,-0.905226061478046,-0.327303949484155,-0.0721720905733428,-0.0927506960442716,-0.0205786054709289,71.3246116903598,69.8271300621833,-1.49748162817643,291.90655254074,281.448150634766,-10.4584019059746
"3",36.8021965026855,-82.1438293457031,16,4,0.299261028070321,0,-0.299261028070321,768.013748162684,809.184833045397,41.1710848827125,-1.32617127819082,-1.2467079643053,0.0794633138855207,260.730245228174,263.972728520334,3.24248329215993,0.311988609863682,0.285181992367449,-0.0268066174962331,3.11202895335662,2.75871285006531,-0.353316103291308,0.0237213904053072,-0.047006814561242,-0.0707282049665492,-0.164951173834659,-0.433233149016376,-0.268281975181718,-0.00716327407021327,-0.0118279254168379,-0.00466465134662464,71.5260733898398,70.521474969687,-1.00459842015283,292.322163331078,281.933319091797,-10.388844239281
"4",36.8044013977051,-82.2111206054688,16,4,0.295150189088999,0,-0.295150189088999,749.955237391222,786.28479593701,36.3295585457885,-1.32830768211604,-1.24409946976847,0.0842082123475643,262.17383594781,265.578296955421,3.40446100761102,0.309117994959804,0.283201152910769,-0.0259168420490345,2.95577158479609,2.61413585630238,-0.341635728493715,0.248601340144918,0.186790938820872,-0.061810401324046,0.781187556119474,0.681693194326398,-0.099494361793076,-0.00299569900826046,-0.00546560781561113,-0.00246990880735067,72.2472394085588,71.425686008083,-0.821553400475779,292.330581325472,281.829681396484,-10.5008999289876
"5",36.8065605163574,-82.2784423828125,16,4,0.298803019567247,0,-0.298803019567247,763.334454215759,798.274158397969,34.9397041822103,-1.32556076148945,-1.25307763597042,0.0724831255190264,261.983011780693,264.963530221358,2.98051844066509,0.309495787065458,0.28875387091112,-0.020741916154338,3.03448196150299,2.98507020412347,-0.0494117573795156,0.676018465512285,0.694179748917046,0.0181612834047615,1.01932510866031,0.866817933380299,-0.152507175280014,-0.00322786583180022,4.57279109509927e-05,0.00327359374275122,72.4450839495444,71.5244682652233,-0.920615684321035,292.48106971321,282.163635253906,-10.3174344593039
"6",36.8396759033203,-81.6698303222656,16,4,0.292214100241986,0,-0.292214100241986,716.747839070984,753.962494387661,37.214655316677,-1.33384501021498,-1.24529537738391,0.0885496328310686,262.992970428525,264.759062583408,1.76609215488298,0.311095492943169,0.291078711131172,-0.0200167818119968,3.19967519319974,3.16081699143108,-0.0388582017686634,0.648477762451436,0.606814942140691,-0.0416628203107453,0.102561507554562,0.0109027034045294,-0.0916588041500331,-0.000762208243716551,-0.00225554508513056,-0.00149333684141401,73.1549589501673,72.2061597537289,-0.948799196438372,291.751327082719,281.768463134766,-9.98286394795343
"7",36.8421211242676,-81.7371215820313,16,4,0.301486166234118,0,-0.301486166234118,745.173180284144,789.520357100163,44.3471768160192,-1.33805724930399,-1.25023648564466,0.0878207636593271,264.219748700909,266.456454064287,2.23670536337778,0.316244427143243,0.292922932722931,-0.0233214944203129,3.55645440582536,3.51458807073088,-0.0418663350944843,0.812457738654646,0.772952118437676,-0.0395056202169702,0.439694361578102,0.302023922102316,-0.137670439475786,0.00477573802593102,0.00479201661088111,1.62785849500812e-05,72.5900323158696,71.4227443040884,-1.16728801178124,292.021977046174,282.081726074219,-9.94025097195527
"8",36.8469123840332,-81.8717651367188,16,4,0.291404631161527,0,-0.291404631161527,822.540213450407,910.334316124035,87.7941026736278,-1.3116767633027,-1.21970999055402,0.0919667727486764,262.041630407256,264.418429431832,2.37679902457648,0.259922069696869,0.234143825351014,-0.025778244345855,3.68138680091271,3.46796653617142,-0.213420264741294,0.584102103231174,0.655727137324344,0.0716250340931703,0.464745591367442,0.396098371993831,-0.0686472193736114,-0.000890269564783323,0.00102719299911016,0.00191746256389348,71.7947506866661,68.8335764600115,-2.96117422665462,292.325017803098,282.947509765625,-9.37750803747275
"9",36.8492622375488,-81.9390869140625,16,4,0.31265018264144,0,-0.31265018264144,748.613051394256,817.459562642972,68.8465112487169,-1.33037823233893,-1.2248066941316,0.105571538207335,263.925351410806,267.799387379965,3.87403596915965,0.266628752025672,0.240412217748426,-0.0262165342772455,3.99549890175844,3.83993683513413,-0.155562066624307,0.88443820719039,0.965005330569622,0.0805671233792322,-0.0464471687280415,-0.253378788204044,-0.206931619476002,-0.0258213300967227,-0.0319785118224458,-0.00615718172572316,71.9933047926154,70.0930598916272,-1.90024490098811,291.951349851647,282.037292480469,-9.91405737117788
"10",36.8515701293945,-82.0064086914063,16,4,0.312397543091019,0,-0.312397543091019,603.812201839279,630.701667810444,26.8894659711656,-1.32837823196356,-1.2322366386632,0.096141593300358,267.994883680829,270.702922779957,2.70803909912871,0.272042324646143,0.254148876800197,-0.0178934478459461,4.59275446182642,4.71299432281755,0.120239860991127,1.47602078593341,1.55835291992638,0.0823321339929697,-0.106852159720662,-0.281926697262942,-0.17507453754228,-0.0607079878767453,-0.0794670604851778,-0.0187590726084325,74.9406611927128,74.402234602226,-0.538426590486793,290.774137600516,280.461791992188,-10.3123456083287
