"","Latitude","Longitude","tLU_INDEX","cLU_INDEX","Mean_CTRL_ET","Mean_t00X_ET","delta_ET_t00X","Mean_CTRL_SMOIS","Mean_t00X_SMOIS","delta_SMOIS_t00X","Mean_CTRL_RAINNC","Mean_t00X_RAINNC","delta_RAINNC_t00X","Mean_CTRL_VT","Mean_t00X_VT","delta_VT_t00X","Mean_CTRL_TRANS","Mean_t00X_TRANS","delta_TRANS_t00X","Mean_CTRL_T2","Mean_t00X_T2","delta_T2_t00X","Mean_CTRL_GT","Mean_t00X_GT","delta_GT_t00X","Mean_CTRL_VPD","Mean_t00X_VPD","delta_VPD_t00X","Mean_CTRL_U","Mean_t00X_U","delta_U_t00X","Mean_CTRL_V","Mean_t00X_V","delta_V_t00X","Mean_CTRL_APAR","Mean_t00X_APAR","delta_APAR_t00X","Mean_CTRL_PSN","Mean_t00X_PSN","delta_PSN_t00X"
"1",36.7918586730957,-81.841064453125,16,4,3.61335207267518e-05,3.93907021612751e-05,3.25718143452328e-06,0.331706730874701,0.316619062630099,-0.0150876682446014,4.50283301182282,4.25183953586807,-0.250993475954757,292.161406840466,284.095245361328,-8.06616147913837,2.34803381757307e-05,0,-2.34803381757307e-05,291.560371799615,291.702060503193,0.141688703578097,293.162344398926,293.971208591064,0.808864192137492,821.485330392117,824.798672439712,3.31334204759492,1.06840497083473,0.866203926572599,-0.202201044262134,0.391107858419842,0.247295700457946,-0.143812157961895,98.0527899390213,0,-98.0527899390213,7.70218753375614,0,-7.70218753375614
"2",36.7965507507324,-81.9756164550781,16,4,3.60162632392311e-05,3.60740603232935e-05,5.77970840623989e-08,0.320532860117322,0.303649910482087,-0.0168829496352352,3.40837339254526,3.2579145227742,-0.150458869771061,292.814347332178,284.947174072266,-7.86717325991236,2.32651884286515e-05,0,-2.32651884286515e-05,292.167825767785,292.863637208726,0.695811440941668,293.987023183623,295.468681222713,1.48165803908961,894.624264530397,978.638533915425,84.0142693850283,0.684777979411008,1.30528032626037,0.620502346849358,0.380796116369829,-0.328429308959935,-0.709225425329764,97.1616037982266,0,-97.1616037982266,7.40751860756543,0,-7.40751860756543
"3",36.7976913452148,-82.00927734375,16,4,3.59908236259829e-05,3.51705764344819e-05,-8.20247191501042e-07,0.318037304707576,0.301237583284422,-0.0167997214231539,3.23450323251578,3.0053281050462,-0.229175127469576,293.045786298847,284.889587402344,-8.1561988965035,2.29268119925073e-05,0,-2.29268119925073e-05,292.386345758586,292.92618885553,0.53984309694448,294.118572982834,295.560572079031,1.44199909619721,928.981023526128,999.666965033276,70.685941507148,0.955226161551638,1.61827978400632,0.663053622454684,0.163314034136908,-0.723641973388142,-0.88695600752505,97.2840461299985,0,-97.2840461299985,7.2982513013095,0,-7.2982513013095
"4",36.7988395690918,-82.0429077148438,16,4,3.38588485336342e-05,2.44180989937071e-05,-9.4407495399271e-06,0.265356661324423,0.271727869930785,0.00637120860636248,3.32250873044006,3.14960102342133,-0.17290770701873,292.781596798563,284.269195556641,-8.51240124192253,2.18190891334246e-05,0,-2.18190891334246e-05,292.12560656471,292.546411651128,0.420805086418056,293.884215732688,295.87225801435,1.98804228166171,917.407629828722,977.189337689928,59.7817078612062,1.26622022712245,1.61696948933148,0.350749262209027,-0.184362562178502,-1.17813109165041,-0.99376852947191,96.0512515880268,0,-96.0512515880268,7.13050047142767,0,-7.13050047142767
"5",36.7999649047852,-82.0765380859375,16,4,3.26102403878488e-05,2.48347591492609e-05,-7.77548123858789e-06,0.267127782111705,0.27623098155655,0.00910319944484517,3.28655564071786,3.36799251523792,0.0814368745200653,291.979564626679,283.567016601562,-8.41254802511662,2.08122092592964e-05,0,-2.08122092592964e-05,291.404124619381,291.673014424334,0.268889804953517,293.080951801373,294.895216056412,1.81426425503946,843.341747352958,873.973820873366,30.6320735204081,0.57055927060936,0.605652248705655,0.0350929780962957,-0.617127735886255,-1.51436532543566,-0.897237589549402,94.7322225299967,0,-94.7322225299967,7.00351592799566,0,-7.00351592799566
"6",36.801082611084,-82.1101989746094,16,4,3.45560807307954e-05,3.612052605451e-05,1.56444532371461e-06,0.318833923714429,0.311153503614684,-0.00768042009974451,3.14317099253337,3.30414161519108,0.160970622657711,292.088184885735,283.694183349609,-8.3940015361257,2.12335811190455e-05,0,-2.12335811190455e-05,291.451355387949,291.513967032192,0.0626116442430202,292.832804316704,293.856326637859,1.02352232115533,842.751178149507,839.652474798464,-3.09870335104245,-0.0352922612582773,-0.188955317213876,-0.153663055955599,-0.663595804018265,-1.37495167466498,-0.711355870646713,95.8788240382269,0,-95.8788240382269,7.12529742038617,0,-7.12529742038617
"7",36.8021965026855,-82.1438293457031,16,4,3.45553981700119e-05,3.5852457010227e-05,1.29705884021503e-06,0.311870126905593,0.308996769132877,-0.00287335777271575,2.93009274637597,3.27690767630553,0.346814929929554,292.473125118876,284.147979736328,-8.32514538254753,2.13999944652612e-05,0,-2.13999944652612e-05,291.787391682972,291.924176836005,0.1367851530336,293.315126011247,294.380416253463,1.06529024221601,872.978883136764,880.111820934563,7.13293779779929,0.278474017590375,0.0909517024002181,-0.187522315190157,-0.326542674123651,-0.759699866854628,-0.433157192730977,96.5622281862655,0,-96.5622281862655,7.03771523466918,0,-7.03771523466918
"8",36.8032989501953,-82.177490234375,16,4,3.39856426537463e-05,3.53434117303297e-05,1.35776907658336e-06,0.307891354247336,0.307602826354023,-0.000288527893313406,2.70320378001939,3.2235344780816,0.520330698062212,292.395044382132,284.074188232422,-8.32085614970981,2.0996361296666e-05,0,-2.0996361296666e-05,291.597260216918,291.731509634666,0.134249417748265,293.275231473956,294.285307392693,1.01007591873719,852.186910099292,856.523645115248,4.33673501595638,0.487454266667855,0.412655409849386,-0.0747988568184694,0.132270852547149,-0.0828697592282959,-0.215140611775444,97.0818461172305,0,-97.0818461172305,6.93232209836238,0,-6.93232209836238
"9",36.8044013977051,-82.2111206054688,16,4,3.36802175406261e-05,3.39852842590932e-05,3.05066718467107e-07,0.305583683582537,0.303243934268552,-0.00233974931398512,2.56920547159309,2.94587241686307,0.376666945269984,292.500476007935,284.142486572266,-8.35798943566959,2.085975658681e-05,0,-2.085975658681e-05,291.683118182144,291.828099084236,0.144980902092016,293.385365555926,294.465713188575,1.08034763264874,862.607742366455,871.328292179945,8.7205498134897,0.476180350714572,0.401640686332292,-0.0745396643822791,0.519809643379917,0.350564795293341,-0.169244848086577,96.5198635446465,0,-96.5198635446465,6.87109306908515,0,-6.87109306908515
"10",36.805477142334,-82.2447814941406,16,4,3.34529968020364e-05,3.26017552579457e-05,-8.51241544090687e-07,0.300188093624766,0.298658622840964,-0.00152947078380211,2.38969146695911,2.65263553358551,0.262944066626394,292.787516073207,284.431671142578,-8.35584493062879,2.08175650635484e-05,0,-2.08175650635484e-05,291.976673231487,292.181172451558,0.204499220071284,293.721595094534,294.943413227632,1.22181813309828,895.742954564674,915.336085947619,19.5931313829457,0.663701078906895,0.635033221864672,-0.0286678570422233,0.855405586756745,0.757336573382692,-0.0980690133740522,96.4798871191033,0,-96.4798871191033,6.76672446447345,0,-6.76672446447345
