Latitude,Longitude,LU_INDEX
36.3913612365723,-82.8353576660156,4
36.3904342651367,-82.8018798828125,4
36.3894920349121,-82.7684020996094,4
36.377555847168,-82.3666687011719,4
36.3765068054199,-82.3331909179688,4
36.3699989318848,-82.1323852539063,4
36.3688812255859,-82.0989379882813,4
36.3677597045898,-82.0654602050781,4
36.366626739502,-82.031982421875,4
36.365478515625,-81.99853515625,4
36.3631629943848,-81.9316101074219,4
36.3619995117188,-81.8981628417969,4
36.3596305847168,-81.8312377929688,4
36.3584403991699,-81.7977905273438,4
36.3572196960449,-81.7643432617188,4
36.3560180664063,-81.7308654785156,4
36.3547973632813,-81.6974182128906,4
36.3535575866699,-81.6639709472656,4
36.3523254394531,-81.6304931640625,4
36.35107421875,-81.5970458984375,4
36.3498077392578,-81.5635986328125,4
36.3485488891602,-81.5301513671875,4
36.3472671508789,-81.4967041015625,4
36.3459892272949,-81.4632568359375,4
36.3446922302246,-81.4298095703125,4
36.3433876037598,-81.3963623046875,4
36.3420753479004,-81.3629150390625,4
36.340763092041,-81.3294982910156,4
36.3394165039063,-81.2960510253906,4
36.3380928039551,-81.2626037597656,4
36.3367347717285,-81.2291870117188,4
36.3353881835938,-81.1957397460938,4
36.3340187072754,-81.1622924804688,4
36.3326416015625,-81.1288452148438,4
36.3312606811523,-81.0954284667969,4
36.3298683166504,-81.0619812011719,4
36.3242149353027,-80.9282836914063,4
36.3139610290527,-80.6943054199219,4
36.3124694824219,-80.660888671875,4
36.3079147338867,-80.5606384277344,4
36.3063774108887,-80.5272216796875,4
36.3048439025879,-80.4938049316406,4
36.3032836914063,-80.4603881835938,4
36.3017234802246,-80.4269714355469,4
36.2969932556152,-80.3267517089844,4
36.2953948974609,-80.2933349609375,4
36.2937850952148,-80.2599487304688,4
36.2921714782715,-80.2265625,4
36.2872695922852,-80.1263427734375,4
36.2772369384766,-79.9259643554688,4
36.2738227844238,-79.8591918945313,4
36.4183120727539,-82.834228515625,4
36.4173927307129,-82.8007202148438,4
36.416446685791,-82.7672119140625,4
36.4155006408691,-82.7337341308594,4
36.4145469665527,-82.7002563476563,4
36.4135932922363,-82.666748046875,4
36.4034461975098,-82.3318786621094,4
36.4023895263672,-82.2984008789063,4
36.4013175964356,-82.2649230957031,4
36.4002418518066,-82.2314453125,4
36.3991470336914,-82.1979675292969,4
36.3980484008789,-82.1644897460938,4
36.3969421386719,-82.1310119628906,4
36.3947067260742,-82.0640563964844,4
36.3935699462891,-82.0305786132813,4
36.3924331665039,-81.9971008300781,4
36.3901138305664,-81.93017578125,4
36.3889427185059,-81.8966979980469,4
36.3877639770508,-81.8632202148438,4
36.385383605957,-81.7962951660156,4
36.3841705322266,-81.7628173828125,4
36.3829612731934,-81.7293701171875,4
36.3817329406738,-81.6958923339844,4
36.3805046081543,-81.6624145507813,4
36.3792724609375,-81.6289672851563,4
36.3780136108398,-81.5955200195313,4
36.3767585754395,-81.5620422363281,4
36.3754844665527,-81.528564453125,4
36.374210357666,-81.4951171875,4
36.372932434082,-81.461669921875,4
36.3716354370117,-81.42822265625,4
36.3690185546875,-81.3612976074219,4
36.3676986694336,-81.3278503417969,4
36.3663673400879,-81.2944030761719,4
36.3650207519531,-81.2609252929688,4
36.3636779785156,-81.2274780273438,4
36.3623237609863,-81.1940307617188,4
36.360954284668,-81.1605834960938,4
36.3595771789551,-81.1271362304688,4
36.3582000732422,-81.0936889648438,4
36.3568153381348,-81.0602416992188,4
36.3554000854492,-81.0268249511719,4
36.3539886474609,-80.9933776855469,4
36.3525657653809,-80.9599304199219,4
36.337890625,-80.6255798339844,4
36.334846496582,-80.5587158203125,4
36.3239212036133,-80.3247680664063,4
36.3223075866699,-80.2913818359375,4
36.3207054138184,-80.2579345703125,4
36.3190956115723,-80.2245483398438,4
36.3125457763672,-80.0908813476563,4
36.3108825683594,-80.0574951171875,4
36.3075332641602,-79.9906616210938,4
36.3041534423828,-79.9238891601563,4
36.3024520874023,-79.8904724121094,4
36.2990188598633,-79.8236694335938,4
36.4452743530273,-82.8330688476563,4
36.4443435668945,-82.799560546875,4
36.4434013366699,-82.7660522460938,4
36.4424552917481,-82.7325439453125,4
36.4414939880371,-82.6990356445313,4
36.4405326843262,-82.6655578613281,4
36.433536529541,-82.4310607910156,4
36.4324989318848,-82.3975524902344,4
36.4293403625488,-82.2970886230469,4
36.4271774291992,-82.2301025390625,4
36.4260940551758,-82.1965942382813,4
36.4249954223633,-82.1631164550781,4
36.423885345459,-82.129638671875,4
36.4227676391602,-82.0961303710938,4
36.4216461181641,-82.0626525878906,4
36.4205131530762,-82.0291748046875,4
36.4193687438965,-81.9956665039063,4
36.4170570373535,-81.9287109375,4
36.415885925293,-81.8952331542969,4
36.4111137390137,-81.7613220214844,4
36.4099044799805,-81.7278442382813,4
36.4086761474609,-81.6943664550781,4
36.4074478149414,-81.660888671875,4
36.4062004089356,-81.6274108886719,4
36.4049453735352,-81.5939331054688,4
36.4036979675293,-81.5604858398438,4
36.4024276733398,-81.5270080566406,4
36.4011573791504,-81.4935302734375,4
36.3998718261719,-81.4600524902344,4
36.3985748291016,-81.4266052246094,4
36.3972702026367,-81.3931274414063,4
36.3959503173828,-81.3596801757813,4
36.3946304321289,-81.3262023925781,4
36.3932991027832,-81.292724609375,4
36.391960144043,-81.25927734375,4
36.3906021118164,-81.225830078125,4
36.3892555236816,-81.1923522949219,4
36.3865165710449,-81.1254272460938,4
36.3851356506348,-81.0919799804688,4
36.3837394714356,-81.0585327148438,4
36.3823318481445,-81.0250854492188,4
36.3809242248535,-80.9916076660156,4
36.376636505127,-80.8912658691406,4
36.3751945495606,-80.8578186035156,4
36.3678245544434,-80.6905822753906,4
36.3632965087891,-80.5902709960938,4
36.3617744445801,-80.5568237304688,4
36.360237121582,-80.5233764648438,4
36.3586883544922,-80.4899597167969,4
36.3555755615234,-80.423095703125,4
36.3476257324219,-80.2559509277344,4
36.3460235595703,-80.2225341796875,4
36.3443984985352,-80.1890869140625,4
36.3427543640137,-80.1556701660156,4
36.3411102294922,-80.1222534179688,4
36.3394546508789,-80.0888366699219,4
36.3361282348633,-80.0220031738281,4
36.3344573974609,-79.9885864257813,4
36.3327674865723,-79.9551696777344,4
36.3310737609863,-79.9217529296875,4
36.3293685913086,-79.8883666992188,4
36.3276596069336,-79.8549499511719,4
36.3259315490723,-79.821533203125,4
36.4712905883789,-82.7984008789063,4
36.4703559875488,-82.764892578125,4
36.469409942627,-82.7313842773438,4
36.4684448242188,-82.6978759765625,4
36.4508323669434,-82.1282348632813,4
36.4497146606445,-82.0947570800781,4
36.4474487304688,-82.0277709960938,4
36.4463081359863,-81.9942626953125,4
36.4451675415039,-81.9607543945313,4
36.4440002441406,-81.9272766113281,4
36.4416389465332,-81.8602905273438,4
36.4404602050781,-81.8267822265625,4
36.4392585754395,-81.7933044433594,4
36.4380607604981,-81.7598266601563,4
36.4368362426758,-81.726318359375,4
36.4356193542481,-81.6928405761719,4
36.4343910217285,-81.6593627929688,4
36.4331398010254,-81.6258544921875,4
36.4318885803223,-81.5923767089844,4
36.4306335449219,-81.5588989257813,4
36.4293670654297,-81.5254211425781,4
36.4267997741699,-81.4584655761719,4
36.4241981506348,-81.3915100097656,4
36.4228897094727,-81.3580322265625,4
36.4215660095215,-81.3245544433594,4
36.4175415039063,-81.22412109375,4
36.4161911010742,-81.190673828125,4
36.4148178100586,-81.1571960449219,4
36.413444519043,-81.1237182617188,4
36.4120674133301,-81.0902709960938,4
36.4092712402344,-81.0233154296875,4
36.4078521728516,-80.9898681640625,4
36.406436920166,-80.9563903808594,4
36.4050025939941,-80.9229125976563,4
36.4035682678223,-80.8894653320313,4
36.4006614685059,-80.8225708007813,4
36.3947448730469,-80.688720703125,4
36.3887023925781,-80.554931640625,4
36.3871612548828,-80.521484375,4
36.3840637207031,-80.45458984375,4
36.3809242248535,-80.3876953125,4
36.3729362487793,-80.2205200195313,4
36.3713111877441,-80.1870727539063,4
36.3696708679199,-80.1536560058594,4
36.3680381774902,-80.1202087402344,4
36.3663864135742,-80.0867919921875,4
36.3647155761719,-80.0533447265625,4
36.3630447387695,-80.0199279785156,4
36.3613739013672,-79.9865112304688,4
36.3596878051758,-79.9530639648438,4
36.3579902648926,-79.9196472167969,4
36.3562850952148,-79.88623046875,4
36.3545761108398,-79.8528137207031,4
36.3528480529785,-79.8193969726563,4
36.3511123657227,-79.7859802246094,4
36.4953956604004,-82.6966552734375,4
36.4944343566895,-82.6631469726563,4
36.4884567260742,-82.4620056152344,4
36.4799842834473,-82.1938781738281,4
36.4788818359375,-82.1603698730469,4
36.475528717041,-82.0598449707031,4
36.4744033813477,-82.0263366699219,4
36.4732513427734,-81.9928283691406,4
36.472095489502,-81.9593200683594,4
36.4709510803223,-81.9258117675781,4
36.4697685241699,-81.892333984375,4
36.4685859680176,-81.8588256835938,4
36.4674034118652,-81.8253173828125,4
36.4662017822266,-81.7918090820313,4
36.4649963378906,-81.75830078125,4
36.4637794494629,-81.7247924804688,4
36.4625663757324,-81.6913146972656,4
36.4613227844238,-81.6578063964844,4
36.460075378418,-81.6243286132813,4
36.4588279724121,-81.5908203125,4
36.4575729370117,-81.5573120117188,4
36.4563026428223,-81.5238342285156,4
36.4550170898438,-81.4903564453125,4
36.4537391662598,-81.4568481445313,4
36.4524383544922,-81.4233703613281,4
36.4498138427734,-81.3563842773438,4
36.4485054016113,-81.3229064941406,4
36.4458274841309,-81.2559204101563,4
36.4444732666016,-81.2224426269531,4
36.4431304931641,-81.18896484375,4
36.4417610168457,-81.1554870605469,4
36.4403800964356,-81.1220092773438,4
36.4390029907227,-81.0885314941406,4
36.4375991821289,-81.0550537109375,4
36.4361991882324,-81.0215759277344,4
36.4347763061523,-80.9880981445313,4
36.4333686828613,-80.9546203613281,4
36.4305000305176,-80.8876953125,4
36.4290466308594,-80.8541870117188,4
36.4275970458984,-80.8207397460938,4
36.4261245727539,-80.7872619628906,4
36.4216766357422,-80.6868896484375,4
36.4201812744141,-80.6534118652344,4
36.4186630249023,-80.6199340820313,4
36.4156265258789,-80.5530395507813,4
36.4125366210938,-80.4861145019531,4
36.4094200134277,-80.419189453125,4
36.4078521728516,-80.3857421875,4
36.4062728881836,-80.352294921875,4
36.4046783447266,-80.31884765625,4
36.4014663696289,-80.251953125,4
36.3998565673828,-80.218505859375,4
36.3982238769531,-80.18505859375,4
36.3965911865234,-80.151611328125,4
36.3949584960938,-80.1181640625,4
36.3932991027832,-80.084716796875,4
36.3916358947754,-80.05126953125,4
36.3882904052734,-79.9844055175781,4
36.3866004943848,-79.9509887695313,4
36.384895324707,-79.9175415039063,4
36.3831939697266,-79.8840942382813,4
36.3814849853516,-79.8506774902344,4
36.3797607421875,-79.8172607421875,4
36.3780250549316,-79.7838134765625,4
36.5223541259766,-82.6954650878906,4
36.5213890075684,-82.6619262695313,4
36.5204124450684,-82.62841796875,4
36.5194282531738,-82.5948486328125,4
36.5174446105957,-82.5278015136719,4
36.5164337158203,-82.4942626953125,4
36.5013465881348,-82.02490234375,4
36.5002021789551,-81.9913940429688,4
36.4990463256836,-81.9578857421875,4
36.4978828430176,-81.9243774414063,4
36.496711730957,-81.890869140625,4
36.495532989502,-81.8573303222656,4
36.4931526184082,-81.7903137207031,4
36.4919319152832,-81.7568054199219,4
36.49072265625,-81.7232971191406,4
36.4895057678223,-81.6897888183594,4
36.4882621765137,-81.6562805175781,4
36.4870262145996,-81.6227722167969,4
36.4857711791992,-81.5892639160156,4
36.4845085144043,-81.5557556152344,4
36.4832458496094,-81.5222473144531,4
36.4819602966309,-81.4887390136719,4
36.4806785583496,-81.4552612304688,4
36.4793853759766,-81.4217529296875,4
36.4780731201172,-81.3882446289063,4
36.4767646789551,-81.354736328125,4
36.4754371643066,-81.3212585449219,4
36.4741134643555,-81.2877502441406,4
36.472770690918,-81.2542724609375,4
36.4714164733887,-81.2207641601563,4
36.4700622558594,-81.187255859375,4
36.4673194885254,-81.1203002929688,4
36.465934753418,-81.0867919921875,4
36.4645347595215,-81.0533142089844,4
36.4603042602539,-80.9528503417969,4
36.4588737487793,-80.9193725585938,4
36.4574203491211,-80.8858642578125,4
36.4559707641602,-80.8524169921875,4
36.4545288085938,-80.8189086914063,4
36.4515914916992,-80.751953125,4
36.4455947875977,-80.6180725097656,4
36.4440765380859,-80.5845947265625,4
36.4394683837891,-80.4841918945313,4
36.4347724914551,-80.3837890625,4
36.4331970214844,-80.350341796875,4
36.4316062927246,-80.3168640136719,4
36.4300003051758,-80.2833862304688,4
36.4283981323242,-80.2499389648438,4
36.4267807006836,-80.2164916992188,4
36.4251518249512,-80.1830444335938,4
36.4235191345215,-80.1495666503906,4
36.4218788146973,-80.1161193847656,4
36.4202270507813,-80.0826721191406,4
36.4185600280762,-80.0492248535156,4
36.4118194580078,-79.9154357910156,4
36.4101142883301,-79.8819885253906,4
36.4084014892578,-79.8485412597656,4
36.4066772460938,-79.8150939941406,4
36.4049453735352,-79.7816772460938,4
36.5463790893555,-82.5936279296875,4
36.5371284484863,-82.2917785644531,4
36.536060333252,-82.2582397460938,4
36.534969329834,-82.2247009277344,4
36.5282897949219,-82.0234985351563,4
36.5271453857422,-81.989990234375,4
36.5259857177734,-81.9564514160156,4
36.5248260498047,-81.9229125976563,4
36.5236587524414,-81.889404296875,4
36.5224761962891,-81.8558654785156,4
36.5212898254395,-81.8223266601563,4
36.5200843811035,-81.788818359375,4
36.5188789367676,-81.7553100585938,4
36.5176696777344,-81.7217712402344,4
36.5164337158203,-81.6882629394531,4
36.5152091979981,-81.6547241210938,4
36.5139617919922,-81.6212158203125,4
36.5127067565918,-81.5877075195313,4
36.5114479064941,-81.55419921875,4
36.5101776123047,-81.5206604003906,4
36.5088996887207,-81.4871520996094,4
36.5076179504395,-81.4536437988281,4
36.5063171386719,-81.4201354980469,4
36.5050086975098,-81.3866271972656,4
36.5037002563477,-81.3531188964844,4
36.5023727416992,-81.319580078125,4
36.4997062683106,-81.2525939941406,4
36.4983406066895,-81.2190856933594,4
36.4969902038574,-81.1855773925781,4
36.4956169128418,-81.1520690917969,4
36.4914627075195,-81.0515747070313,4
36.487232208252,-80.9510803222656,4
36.4829025268555,-80.8505859375,4
36.4814491271973,-80.8171081542969,4
36.471004486084,-80.5827026367188,4
36.4679336547852,-80.5157470703125,4
36.4632720947266,-80.415283203125,4
36.4616889953613,-80.3818359375,4
36.4601211547852,-80.3483581542969,4
36.4585304260254,-80.3148803710938,4
36.4569244384766,-80.2814025878906,4
36.4553108215332,-80.2479248046875,4
36.4537010192871,-80.2144775390625,4
36.4520683288574,-80.1809997558594,4
36.4504280090332,-80.1475219726563,4
36.4487953186035,-80.1140747070313,4
36.4471397399902,-80.0805969238281,4
36.4454765319824,-80.0471496582031,4
36.4438018798828,-80.013671875,4
36.4421272277832,-79.980224609375,4
36.4404373168945,-79.94677734375,4
36.4387321472168,-79.9132995605469,4
36.4370269775391,-79.8798522949219,4
36.4353179931641,-79.8464050292969,4
36.43359375,-79.8129577636719,4
36.4318504333496,-79.7794799804688,4
36.5800285339355,-82.8273315429688,4
36.5629959106445,-82.2568969726563,4
36.5586051940918,-82.1227111816406,4
36.557487487793,-82.0891723632813,4
36.5529289245606,-81.9550170898438,4
36.5517692565918,-81.9214477539063,4
36.5505905151367,-81.887939453125,4
36.5494194030762,-81.8544006347656,4
36.548225402832,-81.8208618164063,4
36.5470314025879,-81.7873229980469,4
36.5458145141602,-81.7537841796875,4
36.5446014404297,-81.7202453613281,4
36.5433807373047,-81.6867065429688,4
36.5421447753906,-81.6531982421875,4
36.5408973693848,-81.6196594238281,4
36.5396461486816,-81.5861206054688,4
36.5383834838867,-81.5526123046875,4
36.5371170043945,-81.5190734863281,4
36.5358352661133,-81.4855651855469,4
36.5345573425293,-81.4520263671875,4
36.5332565307617,-81.4185180664063,4
36.5319480895996,-81.3849792480469,4
36.5306282043457,-81.3514709472656,4
36.5293121337891,-81.3179321289063,4
36.5279731750488,-81.284423828125,4
36.5266342163086,-81.2509155273438,4
36.52392578125,-81.1838684082031,4
36.5225563049316,-81.1503601074219,4
36.521183013916,-81.1168518066406,4
36.5183906555176,-81.0498352050781,4
36.5141639709473,-80.9493103027344,4
36.5127182006836,-80.9158020019531,4
36.5112838745117,-80.8822937011719,4
36.5098342895508,-80.8487854003906,4
36.4979209899902,-80.580810546875,4
36.4963989257813,-80.5473022460938,4
36.4948539733887,-80.5138244628906,4
36.4933166503906,-80.4803161621094,4
36.4901885986328,-80.4133605957031,4
36.4886093139648,-80.3798522949219,4
36.4870338439941,-80.3463745117188,4
36.4854393005371,-80.3128967285156,4
36.4838371276856,-80.2794189453125,4
36.482234954834,-80.2459411621094,4
36.4806098937988,-80.2124633789063,4
36.4789848327637,-80.178955078125,4
36.4773483276367,-80.1455078125,4
36.475715637207,-80.1120300292969,4
36.4740562438965,-80.0785522460938,4
36.4723930358887,-80.0450744628906,4
36.4707145690918,-80.0115966796875,4
36.4690437316895,-79.9781188964844,4
36.4673500061035,-79.9446716308594,4
36.4656448364258,-79.9111938476563,4
36.4639358520508,-79.8777465820313,4
36.4604988098145,-79.810791015625,4
36.4587707519531,-79.77734375,4
36.6069793701172,-82.826171875,4
36.6060562133789,-82.7926025390625,4
36.6051139831543,-82.759033203125,4
36.601261138916,-82.624755859375,4
36.5952262878418,-82.42333984375,4
36.5888595581055,-82.2219848632813,4
36.5855560302734,-82.121337890625,4
36.5787162780762,-81.9200134277344,4
36.5775451660156,-81.886474609375,4
36.5751686096191,-81.8193664550781,4
36.5739707946777,-81.7858276367188,4
36.5727653503418,-81.7522888183594,4
36.5715446472168,-81.71875,4
36.5703163146973,-81.6851806640625,4
36.5690841674805,-81.6516418457031,4
36.5678329467773,-81.6181030273438,4
36.5665893554688,-81.5845642089844,4
36.5653305053711,-81.551025390625,4
36.5640640258789,-81.5174865722656,4
36.5627822875977,-81.4839477539063,4
36.5614929199219,-81.450439453125,4
36.5601959228516,-81.4169006347656,4
36.5588874816895,-81.3833618164063,4
36.5575714111328,-81.3498229980469,4
36.5562400817871,-81.3162841796875,4
36.5522193908691,-81.2156982421875,4
36.5508613586426,-81.1821899414063,4
36.5494842529297,-81.1486511230469,4
36.5481185913086,-81.1151428222656,4
36.5425109863281,-80.9810485839844,4
36.5410919189453,-80.947509765625,4
36.5396614074707,-80.9140014648438,4
36.5382194519043,-80.8804931640625,4
36.5367736816406,-80.8469848632813,4
36.5353164672852,-80.8134765625,4
36.5338439941406,-80.7799682617188,4
36.5233268737793,-80.54541015625,4
36.5202445983887,-80.4783935546875,4
36.5186805725098,-80.4448852539063,4
36.5171203613281,-80.4114074707031,4
36.5155448913574,-80.3778991699219,4
36.5139617919922,-80.3444213867188,4
36.5123672485352,-80.3109130859375,4
36.5107612609863,-80.2774047851563,4
36.5075340270996,-80.21044921875,4
36.5009727478027,-80.0764770507813,4
36.4993057250977,-80.0429992675781,4
36.4976348876953,-80.009521484375,4
36.4959564208984,-79.9760437011719,4
36.4942741394043,-79.9425659179688,4
36.4925651550293,-79.9090576171875,4
36.4908599853516,-79.8756103515625,4
36.489143371582,-79.8421325683594,4
36.6339302062988,-82.8250122070313,4
36.6330032348633,-82.7914123535156,4
36.6320571899414,-82.7578430175781,4
36.6301536560059,-82.690673828125,4
36.6291923522949,-82.6571044921875,4
36.6282081604004,-82.62353515625,4
36.6272163391113,-82.5899353027344,4
36.6262321472168,-82.5563659667969,4
36.6252250671387,-82.5227966308594,4
36.6242179870606,-82.4891967773438,4
36.6231918334961,-82.4556274414063,4
36.6221771240234,-82.4220581054688,4
36.6211242675781,-82.3884887695313,4
36.6200790405273,-82.3549194335938,4
36.6136131286621,-82.1535034179688,4
36.6113777160645,-82.0863647460938,4
36.6079711914063,-81.9856872558594,4
36.6068077087402,-81.9521179199219,4
36.605655670166,-81.9185485839844,4
36.6032905578613,-81.8514404296875,4
36.6021118164063,-81.81787109375,4
36.6009025573731,-81.7843322753906,4
36.5997009277344,-81.7507629394531,4
36.5984802246094,-81.7172241210938,4
36.5972633361816,-81.6836547851563,4
36.5960273742676,-81.6501159667969,4
36.5947761535645,-81.6165466308594,4
36.5935173034668,-81.5830078125,4
36.5922660827637,-81.5494384765625,4
36.5909957885742,-81.5158996582031,4
36.589714050293,-81.4823608398438,4
36.5884208679199,-81.4488220214844,4
36.5871315002441,-81.415283203125,4
36.585823059082,-81.3817138671875,4
36.5845069885254,-81.3481750488281,4
36.583179473877,-81.3146362304688,4
36.581844329834,-81.2810974121094,4
36.5791511535645,-81.2140197753906,4
36.5764198303223,-81.1469421386719,4
36.5750427246094,-81.1134033203125,4
36.573657989502,-81.0798950195313,4
36.5708541870117,-81.0128173828125,4
36.5665893554688,-80.9122314453125,4
36.5651397705078,-80.8786926269531,4
36.5636901855469,-80.8451538085938,4
36.5622367858887,-80.8116455078125,4
36.5607719421387,-80.7781372070313,4
36.5592918395996,-80.7445983886719,4
36.5578155517578,-80.7110595703125,4
36.5563163757324,-80.6775512695313,4
36.5502471923828,-80.5434875488281,4
36.5487060546875,-80.5099792480469,4
36.5471649169922,-80.4764709472656,4
36.5456008911133,-80.4429626464844,4
36.5440406799316,-80.4094543457031,4
36.5424613952637,-80.3759460449219,4
36.5408821105957,-80.3424377441406,4
