"","Latitude","Longitude","tLU_INDEX","cLU_INDEX","Mean_CTRL_ALBEDO","Mean_t00X_ALBEDO","delta_ALBEDO_t00X","Mean_CTRL_SWDOWN","Mean_t00X_SWDOWN","delta_SWDOWN_t00X"
"1",36.2738227844238,-79.8591918945313,4,4,0.188226749432433,0.188175957472867,-5.07919595656159e-05,260.876208359753,259.902154628479,-0.974053731274751
"2",36.2772369384766,-79.9259643554688,4,4,0.188493146717771,0.188382453347666,-0.000110693370105303,260.242498876102,260.037663605812,-0.204835270290573
"3",36.2872695922852,-80.1263427734375,4,4,0.188027113034077,0.188156999781587,0.000129886747510133,260.305070109043,260.461483566538,0.156413457494523
"4",36.2921714782715,-80.2265625,4,4,0.188073284885564,0.188079031136232,5.74625066873669e-06,259.632203750754,259.729749915355,0.0975461646009421
"5",36.2937850952148,-80.2599487304688,4,4,0.188501222918992,0.188359505068647,-0.000141717850344864,259.651131743382,260.330274662629,0.679142919247511
"6",36.2953948974609,-80.2933349609375,4,4,0.18858909739577,0.188551589018916,-3.75083768539841e-05,259.483651793536,259.919385093322,0.435733299786648
"7",36.2969932556152,-80.3267517089844,4,4,0.188607893699808,0.188602858781284,-5.03491852363314e-06,259.795875329271,259.781081047006,-0.0147942822646883
"8",36.2990188598633,-79.8236694335938,4,4,0.18769035753256,0.187904908815397,0.000214551282837344,264.432892218052,263.243045381707,-1.18984683634483
"9",36.3017234802246,-80.4269714355469,4,4,0.18872982997879,0.188450334928247,-0.000279495050543366,260.874641567328,260.632647485101,-0.241994082227393
"10",36.3024520874023,-79.8904724121094,4,4,0.188163230618442,0.188208962613755,4.57319953124646e-05,262.121854193392,261.662426246428,-0.459427946963785
"11",36.3032836914063,-80.4603881835938,4,4,0.188628967958178,0.188473698890504,-0.00015526906767413,260.74647151968,260.234938317204,-0.511533202475789
"12",36.3041534423828,-79.9238891601563,4,4,0.188113139666058,0.188140125377165,2.69857111065419e-05,261.066405636596,261.277960542159,0.211554905563162
"13",36.3048439025879,-80.4938049316406,4,4,0.188707429907045,0.188700801121376,-6.62878566903835e-06,260.542086625006,260.106160028127,-0.435926596879028
"14",36.3063774108887,-80.5272216796875,4,4,0.188661251595824,0.188908772908837,0.000247521313013144,261.161576375983,260.363903752848,-0.797672623134702
"15",36.3075332641602,-79.9906616210938,4,4,0.187483223154809,0.187326008457613,-0.000157214697196401,261.775111393333,261.26291064454,-0.512200748793305
"16",36.3079147338867,-80.5606384277344,4,4,0.188625427710749,0.188950969893482,0.000325542182733035,260.971652338444,260.573410901758,-0.398241436686249
"17",36.3108825683594,-80.0574951171875,4,4,0.187604725740231,0.187564303593447,-4.04221467834032e-05,262.566673702502,262.600705293616,0.0340315911143421
"18",36.3124694824219,-80.660888671875,4,4,0.188976480402895,0.189110467089375,0.000133986686480209,260.532803768152,260.432987686613,-0.0998160815390747
"19",36.3125457763672,-80.0908813476563,4,4,0.187709469814434,0.187562388495786,-0.000147081318647796,261.298980638817,261.809481314414,0.510500675596916
"20",36.3139610290527,-80.6943054199219,4,4,0.189122354947674,0.18892878581562,-0.000193569132053761,259.956862821806,260.157584043796,0.200721221989738
"21",36.3190956115723,-80.2245483398438,4,4,0.187885924701549,0.187813721529547,-7.22031720023775e-05,261.263140696311,260.381354935981,-0.881785760330672
"22",36.3207054138184,-80.2579345703125,4,4,0.188199858712581,0.188198289957487,-1.56875509413346e-06,261.666317246406,260.504868630806,-1.16144861560002
"23",36.3223075866699,-80.2913818359375,4,4,0.188290699658518,0.188466977769101,0.0001762781105836,260.876982800218,260.112698156816,-0.764284643402448
"24",36.3239212036133,-80.3247680664063,4,4,0.188359581834696,0.188329289389586,-3.02924451102971e-05,260.99234807698,261.155110673137,0.162762596157336
"25",36.3242149353027,-80.9282836914063,4,4,0.188805170180812,0.188469759670254,-0.000335410510557743,258.286062800334,258.743327824196,0.45726502386168
"26",36.3259315490723,-79.821533203125,4,4,0.187372727614398,0.187323368514096,-4.93591003025706e-05,260.813762563662,260.852447107363,0.0386845437003558
"27",36.3276596069336,-79.8549499511719,4,4,0.187805825314828,0.187665809690687,-0.000140015624141232,258.177162325916,258.212429741657,0.0352674157411457
"28",36.3293685913086,-79.8883666992188,4,4,0.187834196154792,0.187686739792195,-0.000147456362596804,259.181371434818,258.015283202987,-1.16608823183174
"29",36.3298683166504,-81.0619812011719,4,4,0.188590546495893,0.188551036521954,-3.95099739385896e-05,258.740529767096,257.894101387406,-0.846428379689712
"30",36.3310737609863,-79.9217529296875,4,4,0.187812738079436,0.187621964144711,-0.000190773934725441,257.504009397626,256.898660478193,-0.605348919432572
"31",36.3312606811523,-81.0954284667969,4,4,0.188396803274663,0.188397823445776,1.02017111300312e-06,257.639431223039,258.332108924126,0.69267770108678
"32",36.3326416015625,-81.1288452148438,4,4,0.187840156141753,0.187819943139726,-2.02130020269531e-05,258.026041744495,257.768295186094,-0.257746558400981
"33",36.3327674865723,-79.9551696777344,4,4,0.187334927719153,0.187035185187254,-0.000299742531899516,257.930905303779,257.935244182181,0.00433887840273428
"34",36.3340187072754,-81.1622924804688,4,4,0.187651792231756,0.187839594784211,0.000187802552455291,258.015267557974,259.116086304945,1.10081874697045
"35",36.3344573974609,-79.9885864257813,4,4,0.187283755226854,0.187005085648114,-0.00027866957874001,258.448082738036,258.844335722931,0.396252984895625
"36",36.334846496582,-80.5587158203125,4,4,0.188535641062423,0.188814387210901,0.000278746148477532,261.933898565763,261.950664171372,0.0167656056084979
"37",36.3353881835938,-81.1957397460938,4,4,0.187632127299053,0.187585491113377,-4.66361856766295e-05,258.69662109736,259.066126126153,0.369505028793014
"38",36.3361282348633,-80.0220031738281,4,4,0.187527911068707,0.187338621352775,-0.000189289715932267,258.50912041257,258.893958939481,0.384838526910983
"39",36.3367347717285,-81.2291870117188,4,4,0.187710858750157,0.187589982732433,-0.000120876017723814,258.624116605053,258.930115361465,0.305998756411498
"40",36.337890625,-80.6255798339844,4,4,0.188049222184327,0.188325577777477,0.000276355593149757,262.121614751367,262.290950981118,0.169336229751082
"41",36.3380928039551,-81.2626037597656,4,4,0.187609309294437,0.187587963711309,-2.13455831280795e-05,257.524718820014,259.81583874638,2.29111992636621
"42",36.3394165039063,-81.2960510253906,4,4,0.188032832517305,0.187983221670413,-4.96108468919787e-05,258.271155151526,259.366746346324,1.09559119479769
"43",36.3394546508789,-80.0888366699219,4,4,0.187431061097539,0.187313698997526,-0.000117362100012203,258.467358204082,257.401108128651,-1.06625007543147
"44",36.340763092041,-81.3294982910156,4,4,0.187943079024527,0.188060201177908,0.000117122153380972,258.855205307746,258.650665684258,-0.204539623487506
"45",36.3411102294922,-80.1222534179688,4,4,0.187429415998201,0.18752077467526,9.13586770594776e-05,258.16964970268,257.024574683582,-1.14507501909816
"46",36.3420753479004,-81.3629150390625,4,4,0.188030091831114,0.188241094334898,0.000211002503783531,259.563287027805,258.727735235352,-0.835551792452634
"47",36.3427543640137,-80.1556701660156,4,4,0.187416670785927,0.187470167652449,5.34968665216184e-05,256.682280452924,257.078229710261,0.395949257337122
"48",36.3433876037598,-81.3963623046875,4,4,0.187456031565206,0.187639073489802,0.000183041924595811,259.149100870523,259.447855860178,0.298754989655151
"49",36.3443984985352,-80.1890869140625,4,4,0.187525261434262,0.187593976845834,6.87154115721345e-05,257.621091947153,257.683330286111,0.0622383389573429
