"","Latitude","Longitude","tLU_INDEX","cLU_INDEX","CTRL_Mean_GPP_g_m2_hr","t00X_Mean_GPP_g_m2_hr","delta_GPP_t00X","Mean_CTRL_VPD","Mean_t00X_VPD","delta_VPD_t00X","Mean_CTRL_S","Mean_t00X_S","delta_S_t00X","Mean_CTRL_SWDOWN","Mean_t00X_SWDOWN","delta_SWDOWN_t00X","Mean_CTRL_SMOIS","Mean_t00X_SMOIS","delta_SMOIS_t00X","Mean_CTRL_RAINNC","Mean_t00X_RAINNC","delta_RAINNC_t00X","Mean_CTRL_U","Mean_t00X_U","delta_U_t00X","Mean_CTRL_V","Mean_t00X_V","delta_V_t00X","Mean_CTRL_W","Mean_t00X_W","delta_W_t00X","Mean_CTRL_RH","Mean_t00X_RH","delta_RH_t00X","Mean_CTRL_VT","Mean_t00X_VT","delta_VT_t00X","Mean_CTRL_LH","Mean_t00X_LH","delta_LH_t00X"
"1",36.2738227844238,-79.8591918945313,4,4,0.227048303516792,0.228586470720596,0.00153816720380376,944.870771035945,940.2402306035,-4.6305404324454,-1.34291184262517,-1.34375828608592,-0.000846443460750024,266.029556741001,266.223052167258,0.193495426257357,0.197795020207797,0.203176464807877,0.00538144460007964,0.830045274944387,0.882031535490965,0.0519862605465783,0.348571090437537,0.365129625708123,0.0165585352705855,1.23040294335507,1.10058536217418,-0.129817581180892,-0.00104038385650697,-0.000954113600510892,8.62702559960745e-05,69.4331215793135,69.5786187829574,0.145497203643927,295.175432745452,295.129436664741,-0.0459960807106086,66.1183520899862,67.0565013656156,0.938149275629414
"2",36.2772369384766,-79.9259643554688,4,4,0.233290824649067,0.230466172366331,-0.00282465228273546,947.916364424094,945.812403903636,-2.1039605204578,-1.33976662259746,-1.33987015144571,-0.000103528848244716,264.995893035247,264.808888562656,-0.187004472590161,0.185068051937755,0.18519340107741,0.000125349139655784,1.05572822435289,1.00132733685339,-0.0544008874995077,0.46271030874159,0.486529554265534,0.0238192455239444,1.20674900847041,1.07700263711298,-0.129746371357423,-0.00140782890446135,-0.00130944855682086,9.83803476404868e-05,69.3150395959804,69.3825428611734,0.0675032651930252,295.173074410907,295.145996767451,-0.0270776434557547,64.7676982518789,64.2178798053697,-0.549818446509207
"3",36.2872695922852,-80.1263427734375,4,4,0.246101232903749,0.234558752279271,-0.0115424806244783,929.289909585808,939.543221434952,10.253311849144,-1.34047918611471,-1.3383511300195,0.00212805609520528,264.683878752357,264.646746926434,-0.037131825923268,0.201298643044832,0.189200065246103,-0.0120985777987287,1.47025466882266,1.22428274001831,-0.245971928804348,0.240891650515982,0.235257884910145,-0.00563376560583684,1.1742171200035,1.04967594823117,-0.124541171772329,-0.00128943474895364,-0.00121119635433827,7.82383946153673e-05,69.8637309737674,69.6517999904856,-0.211930983281746,294.995106473478,295.038515552414,0.0434090789365769,69.9570929403723,65.8180777295623,-4.13901521081
"4",36.2921714782715,-80.2265625,4,4,0.247034768520089,0.227883241218761,-0.0191515273013279,926.844303645204,941.752493935418,14.908190290214,-1.34332775394832,-1.33756178565731,0.00576596829101428,264.945388324353,263.922989647194,-1.02239867715895,0.19839464754227,0.185211652159977,-0.0131829953822925,1.39118458368839,1.03350538626695,-0.357679197421441,0.437895668981019,0.430008862761228,-0.00788680621979121,0.968703667971984,0.841034225933108,-0.127669442038876,2.64477296133968e-05,-2.4936647795916e-05,-5.13843774093128e-05,69.7431667754553,69.4188130162284,-0.324353759226895,294.934823553524,295.005286929997,0.0704633764722189,69.8441002054643,63.6656065406913,-6.17849366477305
"5",36.2937850952148,-80.2599487304688,4,4,0.251477194923527,0.22860113206719,-0.0228760628563366,920.977524180223,934.983415622517,14.0058914422946,-1.34603456548114,-1.33951961348008,0.00651495200106189,265.830824504566,264.697578086575,-1.13324641799119,0.198649597471457,0.186194950035241,-0.0124546474362154,1.50238690773646,1.04623780444137,-0.45614910329509,0.448136231748948,0.444963136436951,-0.00317309531199744,0.972398586082187,0.843958679331849,-0.128439906750338,1.45546528867591e-05,-6.41778508087541e-05,-7.87325036955132e-05,69.8459079396353,69.5469374072699,-0.298970532365416,294.889910594199,294.96549113883,0.0755805446304976,70.4897495042897,63.7152175999069,-6.77453190438285
"6",36.2953948974609,-80.2933349609375,4,4,0.245938149985376,0.235021557662336,-0.01091659232304,916.079847891966,922.961755894743,6.88190800277789,-1.34583741483269,-1.34163901116062,0.0041984036720748,266.052643022984,264.765799262941,-1.28684376004287,0.196611565242453,0.190515554962537,-0.00609601027991649,1.37671991902539,1.17413733351944,-0.20258258550595,0.439410700882202,0.438897611641173,-0.000513089241028719,1.00712128794479,0.875502835619655,-0.131618452325133,0.000213405303943593,0.00010532306174484,-0.000108082242198754,69.9621928970537,69.7982085729922,-0.163984324061445,294.868706343075,294.895356360122,0.0266500170468476,69.1145686342217,65.7503193243844,-3.36424930983728
"7",36.2969932556152,-80.3267517089844,4,4,0.239903972337741,0.236832713825599,-0.00307125851214188,910.209142177525,913.944442378931,3.73530020140538,-1.34462911936433,-1.34314293820118,0.00148618116315169,265.971125323237,265.702959018461,-0.268166304776003,0.195872831799837,0.191930755085478,-0.00394207671435889,1.24938653676938,1.21234692161919,-0.0370396151501908,0.427733405059352,0.432307309058311,0.00457390399895913,1.07303649595284,0.931535135435299,-0.141501360517537,0.000780919772755853,0.000622902222168168,-0.000158017550587685,70.1163781636255,70.0154421209513,-0.100936042674277,294.834641912812,294.839335871651,0.00469395883868629,67.6617196407259,66.2987365036319,-1.36298313709392
"8",36.2990188598633,-79.8236694335938,4,4,0.231264787271843,0.238957034431491,0.0076922471596487,950.232013371582,941.833301849397,-8.39871152218529,-1.34908581170073,-1.35189278756416,-0.0028069758634337,269.046790157953,269.207064105981,0.160273948027395,0.204715727190594,0.211916712795009,0.00720098560441532,0.957827008178091,1.14964935565606,0.19182234747797,0.339503238380104,0.384624996793907,0.045121758413803,1.11874867511663,1.03690509004124,-0.0818435850753878,-0.000829548200510276,-0.000800379064138654,2.91691363716223e-05,69.4399311744605,69.6503944010246,0.210463226564073,295.18134451702,295.120108744503,-0.0612357725170796,68.2466296914501,70.9266522598655,2.6800225684154
"9",36.3017234802246,-80.4269714355469,4,4,0.230070382832734,0.230069785418929,-5.97413805508706e-07,901.41589621758,899.921831004408,-1.49406521317235,-1.34525577485153,-1.34545040350153,-0.000194628650002304,266.47413294376,266.449771275085,-0.0243616686749419,0.182357727776956,0.18345068977973,0.00109296200277331,0.921733944843977,0.903968521672436,-0.0177654231715406,0.245058970039645,0.247166264795793,0.00210729475614763,1.09534812581364,0.931633444284005,-0.163714681529637,0.00112347828850521,0.000956390708619372,-0.000167087579885836,70.3371684166814,70.3527377048729,0.0155692881914717,294.816338238776,294.789478695221,-0.0268595435557017,63.6452436514851,63.9059228109445,0.26067915945935
"10",36.3024520874023,-79.8904724121094,4,4,0.233031601736977,0.238000386988491,0.00496878525151412,963.06901257001,957.031241980854,-6.03777058915603,-1.34068078409541,-1.34390415544573,-0.00322337135032713,266.265179191191,267.098552555977,0.833373364786723,0.1869321777642,0.190730133969174,0.00379795620497467,1.05613409301155,1.14823129594835,0.0920972029368083,0.439134375837063,0.455584973317367,0.0164505974803038,0.994804929421806,0.917453111376181,-0.0773518180456255,-0.00133725409505916,-0.00121448181206857,0.000122772282990584,69.0837187927443,69.2599154420054,0.176196649261072,295.215815156513,295.166731948676,-0.0490832078365315,65.591346433937,67.3138505996185,1.72250416568149
