"","Latitude","Longitude","tLU_INDEX","cLU_INDEX","Mean_CTRL_GPP","Mean_t00X_GPP","delta_GPP_t00X","Mean_CTRL_SMOIS","Mean_t00X_SMOIS","delta_SMOIS_t00X","Mean_CTRL_RAINNC","Mean_t00X_RAINNC","delta_RAINNC_t00X","Mean_CTRL_VT","Mean_t00X_VT","delta_VT_t00X","Mean_CTRL_SWDOWN","Mean_t00X_SWDOWN","delta_SWDOWN_t00X","Mean_CTRL_VPD","Mean_t00X_VPD","delta_VPD_t00X","Mean_CTRL_U","Mean_t00X_U","delta_U_t00X","Mean_CTRL_V","Mean_t00X_V","delta_V_t00X","Mean_CTRL_W","Mean_t00X_W","delta_W_t00X","Mean_CTRL_APAR","Mean_t00X_APAR","delta_APAR_t00X","Mean_CTRL_PSN","Mean_t00X_PSN","delta_PSN_t00X"
"1",36.7261085510254,-80.2613830566406,16,4,9.35083456631309e-05,0,-9.35083456631309e-05,0.257476378707104,0.255039583946677,-0.00243679476042691,7.21217637184339,6.91531811412583,-0.296858257717556,292.83053341119,284.278900146484,-8.55163326470563,251.721132292251,256.738866776227,5.01773448397608,811.481511942945,870.696816628196,59.2153046852512,0.686487045536787,2.05131887367033,1.36483182813354,0.717484896727094,0.0794946826357088,-0.637990214091385,-0.0190851265510809,-0.0152250044885714,0.00386012206250952,92.1873588293203,0,-92.1873588293203,7.79236187163153,0,-7.79236187163153
"2",36.7277145385742,-80.2949829101563,16,4,9.32989281021349e-05,0,-9.32989281021349e-05,0.25920327117135,0.256173298889677,-0.00302997228167373,7.69997459802872,7.27457639906141,-0.425398198967306,292.871712435898,284.160766601562,-8.71094583433592,250.195223969007,255.796427843655,5.60120387464758,823.046489274515,882.941289834017,59.8948005595024,1.44736328644684,3.09103557450157,1.64367228805473,0.525513341375878,-0.17411579584685,-0.699629137222728,-0.0291415237258028,-0.0722763643210655,-0.0431348405952627,91.688574759223,0,-91.688574759223,7.77491038898926,0,-7.77491038898926
"3",36.7293128967285,-80.3285522460938,16,4,9.2104264879015e-05,0,-9.2104264879015e-05,0.264562102726755,0.260112930247081,-0.00444917247967402,9.31549240177513,8.3002939468775,-1.01519845489763,292.128708678971,283.269866943359,-8.85884173561163,250.767672723071,256.269356271874,5.50168354880381,749.107114092719,773.356263665344,24.2491495726243,2.36739303094343,3.61423529466619,1.24684226372276,0.318840851430779,-0.374179214352987,-0.693020065783765,-0.0816511834787419,-0.167794716175742,-0.0861435326970002,92.0522400097892,0,-92.0522400097892,7.67535512847204,0,-7.67535512847204
"4",36.7308883666992,-80.3621520996094,16,4,9.29822462704299e-05,0,-9.29822462704299e-05,0.385982408119475,0.366048066030729,-0.0199343420887452,10.4576409902328,8.90127700414413,-1.55636398608868,290.671041205109,282.126678466797,-8.54436273831203,251.913406448136,257.545914951112,5.63250850297567,580.565655657998,495.78452847211,-84.7811271858878,1.71514865073996,2.39826639409336,0.683117743353397,0.0563562544650012,-0.636952073741568,-0.69330832820657,-0.0664321932563973,-0.123401849808525,-0.0569696565521279,92.2682145139859,0,-92.2682145139859,7.74852025498236,0,-7.74852025498236
"5",36.7324714660645,-80.3957214355469,16,4,9.28964417835258e-05,0,-9.28964417835258e-05,0.383515389397069,0.365220080446323,-0.0182953089507466,9.41680137927716,8.49961866069044,-0.917182718586719,290.316549547334,281.876708984375,-8.43984056295864,254.235393148333,258.360275954253,4.12488280592007,539.304144358581,459.131121276719,-80.1730230818611,1.06256749653378,1.38740998655146,0.324842490017676,-0.0874705265302414,-0.769958665187948,-0.682488138657707,-0.007393824850588,-0.02256831295964,-0.015174488109052,93.0418946890047,0,-93.0418946890047,7.74136986977746,0,-7.74136986977746
"6",36.7356071472168,-80.462890625,16,4,9.36187668693251e-05,0,-9.36187668693251e-05,0.377084309484253,0.359471612657509,-0.0176126968267445,7.90731676623353,7.77057655041034,-0.136740215823181,290.4211172274,282.091217041016,-8.32990018638486,253.830148453711,260.791327119327,6.96117866561627,550.097476283071,481.328755059994,-68.768721223077,0.757734041716615,0.646183971128181,-0.111550070588435,0.259362639311548,-0.301630381515662,-0.56099302082721,0.00478425809742624,0.00266639939318035,-0.00211785870424589,93.1702191558824,0,-93.1702191558824,7.80156363069034,0,-7.80156363069034
"7",36.7371559143066,-80.4964904785156,16,4,9.38027030841543e-05,0,-9.38027030841543e-05,0.332065178791367,0.320902714626166,-0.0111624641652016,7.15594007214929,7.27417782025459,0.118237748105302,290.660216280038,282.389099121094,-8.27111715894375,254.134138789858,260.312647324768,6.17850853491075,576.709846749999,538.272376488105,-38.4374702618941,0.58729615892278,0.336613729794689,-0.250682429128092,0.497584499998833,0.00837887831275402,-0.489205621686079,0.00555178919471613,0.00290273140917312,-0.00264905778554301,93.4169806665539,0,-93.4169806665539,7.81689164576081,0,-7.81689164576081
"8",36.7387008666992,-80.5300903320313,16,4,9.52116595475355e-05,0,-9.52116595475355e-05,0.369965759090561,0.352579693347932,-0.0173860657426287,6.76368977880886,7.06542574646127,0.301735967652411,290.827622945907,282.609130859375,-8.21849208653174,255.373764666773,259.349200817445,3.97543615067221,591.768601471993,540.510964190484,-51.2576372815091,0.669983246793951,0.278441014608057,-0.391542232185894,0.635745008300494,0.24982389552205,-0.385921112778444,0.00302776733621317,0.000301489128001507,-0.00272627820821166,93.96449664899,0,-93.96449664899,7.93430467742882,0,-7.93430467742882
"9",36.7530212402344,-80.2593994140625,16,4,9.68231478403743e-05,0,-9.68231478403743e-05,0.302299092302405,0.292585435368019,-0.00971365693438642,7.04597039915558,6.58601590507051,-0.459954494085067,293.336466192456,284.898315429688,-8.43815076276883,251.573615619737,255.592854103461,4.0192384837238,890.524143581155,941.168274268206,50.6441306870502,0.686227070943967,2.34566645111667,1.6594393801727,0.989000593194737,0.536078478680652,-0.452922114514085,-0.0231601827268198,-0.0319235896955122,-0.00876340696869238,92.149381189903,0,-92.149381189903,8.06859536696416,0,-8.06859536696416
"10",36.7546310424805,-80.29296875,16,4,9.6375205134279e-05,0,-9.6375205134279e-05,0.304339172586186,0.295261236035343,-0.00907793655084277,7.61777291746221,7.26811836519812,-0.349654552264091,293.228572786374,284.552490234375,-8.67608255199929,250.346604256535,255.474361543918,5.12775728738279,880.660749280162,926.569640972097,45.9088916919352,1.54264826296038,3.45133791592672,1.90868965296635,0.739270549108691,0.181127741828708,-0.558142807279984,-0.0454089446062942,-0.119655192455738,-0.0742462478494442,91.7794371719449,0,-91.7794371719449,8.03126681633844,0,-8.03126681633844
