"","Estimate","StdError","tvalue","pvalue"
"VPD:year:Treatment006",-427726.843582147,116940.273983608,-3.65765214165742,0.000254869615374724
"SM:year:Treatment005",317.525793109728,96.2005852683945,3.30066383924638,0.000965425514910473
"SM:year:Treatment006",744.474209616716,110.191876617872,6.75616236393209,1.43673203090385e-11
"PAR:year:Treatment005",1.8712116298428,0.447850780163782,4.1782033496927,2.94457237566405e-05
"PAR:year:Treatment006",2.66162985065256,0.400299455908659,6.64909684828524,2.98763511761726e-11
"VPD:SM:distance_to_LU16_meters",-0.00813785782209358,0.00131386297693105,-6.19384057925294,5.92982043803151e-10
"VPD:PAR:distance_to_LU16_meters",2.72799332927224e-05,1.53657645667956e-05,1.7753710317593,0.0758444083142706
"SM:PAR:distance_to_LU16_meters",0.165007905187904,0.0675039378209715,2.44441895561003,0.0145129452715872
"VPD:year:distance_to_LU16_meters",-16.451042694148,4.49770284632347,-3.65765441965458,0.00025486735164921
"PAR:year:distance_to_LU16_meters",3.73829947070447e-05,1.5009781814252e-05,2.49057549068096,0.0127577503104544
"VPD:Treatment005:distance_to_LU16_meters",0.00621800949953312,0.00206703284375825,3.00818127699781,0.00262983239216364
"SM:Treatment003:distance_to_LU16_meters",14.8357987258934,8.89808405053631,1.66730260600306,0.0954622443223503
"SM:Treatment005:distance_to_LU16_meters",43.7717820852583,9.50129396552559,4.60692851353504,4.09945921687609e-06
"PAR:Treatment001:distance_to_LU16_meters",0.0821431894394708,0.0411852601396877,1.99448028641476,0.0461065119570318
"PAR:Treatment002:distance_to_LU16_meters",0.0664110524775704,0.0320033779922375,2.07512633490373,0.0379813403925373
"PAR:Treatment003:distance_to_LU16_meters",0.0843959390491587,0.04207805115228,2.00569980638435,0.0448951514724648
"PAR:Treatment005:distance_to_LU16_meters",0.215712265577278,0.0444900870538296,4.8485467182,1.24845460222222e-06
"year:Treatment001:distance_to_LU16_meters",0.00357381746229422,0.00189591868465767,1.88500566570423,0.0594364700154168
"year:Treatment003:distance_to_LU16_meters",0.00392588832911836,0.00195472929411421,2.00840512337919,0.0446071113129226
"year:Treatment005:distance_to_LU16_meters",0.00898417521200464,0.00204288810910462,4.39778134297444,1.09651010328597e-05
"Treatment001:Latitude:Longitude",-546.274679151187,74.2363534639004,-7.35858718352631,1.89505082287569e-13
"Treatment002:Latitude:Longitude",-0.447963878473798,0.0784501813071184,-5.71017008514104,1.13678184088528e-08
"Treatment003:Latitude:Longitude",-0.460375319541701,0.0768267190235668,-5.99238553191995,2.08587523052509e-09
"Treatment004:Latitude:Longitude",-740.552971575028,80.0128588638673,-9.25542446664721,2.2384205424779e-20
"Treatment005:Latitude:Longitude",-183.977428633414,55.5461155908947,-3.31215651492959,0.000926635175676836
"Treatment006:Latitude:Longitude",0.232976105499671,0.0304505612389337,7.65096261023233,2.04038585041184e-14
"TreatmentCTRL_Replicate:Latitude:Longitude",-0.0327391473042442,0.00684919225792791,-4.78000121347869,1.7592952929334e-06
"Treatment001:distance_to_LU16_meters:Longitude",-0.0209324535854368,0.0114468896369432,-1.82865863560703,0.067458364076232
"Treatment003:distance_to_LU16_meters:Longitude",-0.0233720501111704,0.0112072977323443,-2.0854313563669,0.0370366211198478
"year:distance_to_LU16_meters:Longitude",-9.41717791261178e-06,4.04886717866381e-06,-2.3258796836402,0.0200300487317116
"year:Treatment001:Latitude",22.0015993760246,2.97501416515439,7.39546037586103,1.43732827130583e-13
"year:Treatment003:Latitude",0.311855856568505,0.17094048377064,1.82435342225273,0.0681062744396021
"year:Treatment004:Latitude",29.777305636703,3.20048794376719,9.30398931659559,1.42046568279378e-20
"year:Treatment005:Latitude",7.61895321766783,2.23769406931427,3.4048234395163,0.000662732203002119
"year:Treatment006:Latitude",0.246936624695381,0.0747783113642067,3.30224927777093,0.000959986320210867
"year:Treatment001:Longitude",-10.2440142004179,1.38122101652851,-7.41663649613782,1.22558041328368e-13
"year:Treatment002:Longitude",-0.276332386914804,0.138689568319549,-1.99245257060804,0.0463283536120983
"year:Treatment004:Longitude",-13.7944914224847,1.48371780269234,-9.29724735893403,1.51324806259707e-20
"year:Treatment005:Longitude",-3.50852592237418,1.03553062306122,-3.38814308745628,0.000704368152051044
"year:Treatment006:Longitude",-0.220030782037866,0.0514434302532118,-4.27714055915096,1.89757491000463e-05
"VPD:SM:PAR:year",-0.000464474808617405,0.000214335832680375,-2.16704226637664,0.030237639291711
"VPD:SM:PAR:Treatment001",5.51094324853265,1.31094985359537,4.20377883518466,2.63077280121172e-05
"VPD:SM:PAR:Treatment002",7.48233198607077,2.20872455232648,3.38762566757794,0.000705697742652414
"VPD:SM:PAR:Treatment003",9.32777294341083,1.37342446304459,6.7916170087237,1.12464229844009e-11
"VPD:SM:PAR:Treatment005",0.013427135081905,0.00273871146859092,4.90271985051908,9.48964958009072e-07
"VPD:SM:PAR:Treatment006",-19.5778743099232,2.63524532063323,-7.42924165603633,1.11442613873877e-13
"VPD:SM:year:Treatment001",0.375531245549912,0.0623266547405249,6.0252109970173,1.70393159945739e-09
"VPD:SM:year:Treatment002",0.457156956272201,0.102415153520238,4.463762837419,8.0757160191898e-06
"VPD:SM:year:Treatment003",0.549815749178418,0.0649900253544589,8.46000207231334,2.76500079090555e-17
"VPD:SM:year:Treatment004",0.326781989857196,0.142997649431705,2.28522630376009,0.0223048814374939
"VPD:SM:year:Treatment005",0.0856221605151866,0.0191960150057383,4.46041329357117,8.20290912416422e-06
"VPD:SM:year:Treatment006",-0.854644368973762,0.120103033456589,-7.1159265871721,1.13068739147752e-12
"VPD:PAR:year:Treatment002",0.000731592068194962,0.000405662522421264,1.80344998061032,0.0713252565023027
"VPD:PAR:year:Treatment003",0.00120099030232662,0.000328140198192054,3.65999139679835,0.000252554921549802
"VPD:PAR:year:Treatment005",-0.000690529021928872,0.000223487495583023,-3.08978817865158,0.00200439595367865
"VPD:PAR:year:Treatment006",-0.00304223727399153,0.000417641180641267,-7.2843326161475,3.29344911213289e-13
"SM:PAR:year:Treatment001",1.83399889890312,0.738435234062947,2.48362864379082,0.0130092854632058
"SM:PAR:year:Treatment002",3.02403515442588,0.768709541005908,3.93391130604249,8.37186582230482e-05
"SM:PAR:year:Treatment003",3.00678642016408,0.790144288933243,3.8053637320134,0.000141811209605555
"SM:PAR:year:Treatment004",2.78632257578487,1.27793844860512,2.18032611729162,0.0292392286030056
"SM:PAR:year:Treatment005",-1.98049200152089,0.503068320079523,-3.9368251238874,8.27094174058548e-05
"SM:PAR:year:Treatment006",-6.26378147380741,1.08218257985684,-5.7881004466326,7.17287157130728e-09
"VPD:SM:PAR:distance_to_LU16_meters",5.93813989036453e-07,9.30923264050043e-08,6.3787640933263,1.80510908769862e-10
"VPD:SM:year:distance_to_LU16_meters",4.00702667684697e-06,6.4749025210268e-07,6.18855135476469,6.132008523915e-10
"VPD:PAR:year:distance_to_LU16_meters",-1.36068719581283e-08,7.61725400991738e-09,-1.78632246481642,0.0740547949881533
"VPD:SM:Treatment001:distance_to_LU16_meters",0.0103580588767542,0.00153892207590848,6.73072343226961,1.71144154505156e-11
"VPD:SM:Treatment003:distance_to_LU16_meters",0.0112280357307598,0.00159535596900972,7.03795011826066,1.98289612083881e-12
"VPD:SM:Treatment005:distance_to_LU16_meters",0.00307377995214635,0.0017993119503645,1.70830852955968,0.0875870338436226
"VPD:PAR:Treatment002:distance_to_LU16_meters",-5.12774163589234e-05,2.64885707232508e-05,-1.93583175531301,0.0528954979463323
"VPD:PAR:Treatment005:distance_to_LU16_meters",-7.89456065993989e-05,2.18134466775243e-05,-3.61912575149076,0.000295972142521267
