"","Estimate","StdError","tvalue","pvalue"
"Treatment005:Latitude:r:theta",-2.28109328701626e-05,6.82678797596924e-06,-3.34138586850195,0.000835324094524099
"Treatment003:Longitude:r:theta",-1.08008738971773e-05,3.35729457572435e-06,-3.21713619510048,0.00129708144464414
"Treatment005:Longitude:r:theta",1.04795743221825e-05,3.20062453887281e-06,3.27422794985918,0.00106152847280751
"Treatment004:distance_to_LU16_meters:r:theta",-4.35477220385983e-08,1.19223738222066e-08,-3.65260498353829,0.000260336377943586
"year2018:Latitude:Longitude:r",3.52996584057306e-05,7.45875531499029e-06,4.7326473272004,2.23310031104887e-06
"year2018:Latitude:distance_to_LU16_meters:r",-4.65534435020122e-08,2.10141123506535e-08,-2.21534189620741,0.026749184565165
"year2018:Longitude:distance_to_LU16_meters:r",2.88604076298049e-08,1.02593626022701e-08,2.81307998836291,0.00491230723944445
"year2018:Treatment006:Latitude:Longitude",29.1280569924618,13.1362436558529,2.21738099228113,0.0266096198247866
"year2018:Treatment001:Latitude:r",-0.00230734590797052,0.000711596167635731,-3.24249344348867,0.00118706311294743
"year2018:Treatment003:Latitude:r",-0.00175661361211221,0.000706160240410113,-2.48755666432314,0.0128714571820378
"year2018:Treatment004:Latitude:r",-0.0016531308639632,0.000679741164816241,-2.43200051656442,0.0150254554466237
"year2018:Treatment001:Longitude:r",0.00104275779038648,0.000331422661121965,3.14630806130283,0.00165617542612377
"year2018:Treatment003:Longitude:r",0.000780797478030278,0.000328645781191478,2.37580252878817,0.0175213284917015
"year2018:Treatment004:Longitude:r",0.000709723028374943,0.0003150609131987,2.25265337159529,0.0242931125720247
"year2018:Treatment005:r:theta",0.00118024652587377,0.000363160978179094,3.24992660773077,0.00115648624215762
"Latitude:Longitude:distance_to_LU16_meters:r:theta",6.09146747811736e-12,1.76860967739463e-12,3.44421245454837,0.000574041414237111
"Treatment001:Latitude:Longitude:distance_to_LU16_meters:r",-1.40529087810184e-09,2.16533438340078e-10,-6.48994856810406,8.8126220205655e-11
"Treatment002:Latitude:Longitude:distance_to_LU16_meters:r",-1.29871116412844e-09,2.38660830720594e-10,-5.4416602850464,5.34818294061585e-08
"Treatment003:Latitude:Longitude:distance_to_LU16_meters:r",-1.26634108809915e-09,2.15789132268066e-10,-5.8684192053102,4.47759121281161e-09
"Treatment004:Latitude:Longitude:distance_to_LU16_meters:r",-6.88907150790072e-10,2.13978647993709e-10,-3.2195135227246,0.00128638047757551
"Treatment003:Latitude:Longitude:r:theta",2.77448750578509e-07,9.04184694492291e-08,3.06849642853443,0.00215461482732527
"Treatment005:Latitude:Longitude:r:theta",-2.81501661424769e-07,8.40809790190076e-08,-3.34798267942542,0.000815704325728114
"Treatment002:Latitude:distance_to_LU16_meters:r:theta",-4.62830515884878e-10,2.22414125047153e-10,-2.08094029903342,0.0374535991216933
"Treatment004:Latitude:distance_to_LU16_meters:r:theta",1.12591339588406e-09,3.12825672995349e-10,3.59917197684986,0.000320096577444392
"Treatment004:Longitude:distance_to_LU16_meters:r:theta",-5.63619686461807e-10,1.44601179566819e-10,-3.89775303458961,9.74442592124555e-05
"year2018:Latitude:Longitude:distance_to_LU16_meters:r",-6.1533271085902e-10,2.43143122936781e-10,-2.53074281282062,0.0113906484890607
"year2018:Treatment001:Latitude:Longitude:r",-2.85983273140447e-05,8.75563807559225e-06,-3.26627563486974,0.00109177760372655
"year2018:Treatment003:Latitude:Longitude:r",-2.1607729661865e-05,8.68704427298137e-06,-2.48735116143818,0.0128788929672035
"year2018:Treatment004:Latitude:Longitude:r",-2.0208255948487e-05,8.34148622164207e-06,-2.42262055124618,0.0154189026568647
"year2018:Treatment005:Latitude:distance_to_LU16_meters:r",-6.54079552398569e-08,2.82428974320531e-08,-2.31590811095837,0.0205745643737952
"year2018:Treatment005:Latitude:r:theta",-3.12504719337918e-05,9.53818561259244e-06,-3.27635393177236,0.00105357402338273
"year2018:Treatment005:Longitude:r:theta",1.45006794679718e-05,4.47229645217422e-06,3.2423341393038,0.00118772652439513
"Treatment004:Latitude:Longitude:distance_to_LU16_meters:r:theta",1.45781505084686e-11,3.78452165347441e-12,3.85204573874877,0.000117544654294536
"year2018:Treatment005:Latitude:Longitude:distance_to_LU16_meters:r",-7.57901813758127e-10,3.34943369844427e-10,-2.26277598541554,0.0236614706242314
"year2018:Treatment005:Latitude:Longitude:r:theta",-3.83970706945668e-07,1.17481865603418e-07,-3.26834022402942,0.00108384858374632
